date,rf
2021-02-19,-1.86122123336796e-05
2021-02-22,1.9723712458175058e-05
2021-02-23,-1.7500977137929752e-05
2021-02-24,1.9168072325381758e-05
2021-02-25,-1.6945362318221413e-05
2021-02-26,1.1111901290217219e-06
2021-03-01,-2.4169137289531406e-05
2021-03-02,2.6392224572902023e-05
2021-03-03,-2.3613472458494655e-05
2021-03-04,2.5836527015377087e-05
2021-03-05,1.111219763760829e-06
2021-03-08,-2.22243211858153e-05
2021-03-09,1.389050944711201e-06
2021-03-10,2.4169452867539576e-05
2021-03-11,1.1112123547984964e-06
2021-03-12,1.111211120230493e-06
2021-03-15,1.111207415860349e-06
2021-03-16,4.3337041057966985e-05
2021-03-17,5.555790132394378e-07
2021-03-18,2.111199077736714e-05
2021-03-19,2.777834877676355e-07
2021-03-22,-3.8611872623106613e-05
2021-03-23,3.916895152222821e-05
2021-03-24,-1.8611467830886852e-05
2021-03-25,5.55576544103431e-07
2021-03-26,5.555762352393856e-07
2021-03-29,-1.694504693483534e-05
2021-03-30,1.8056503521934886e-05
2021-03-31,-1.6389453414533683e-05
2021-04-01,2.5835292509768237e-05
2021-04-05,-2.333446116553617e-05
2021-04-06,2.4446196421834543e-05
2021-04-07,5.5558179123949e-07
2021-04-08,2.3612213014390093e-05
2021-04-09,-2.2500518761847665e-05
2021-04-12,5.555802480294858e-07
2021-04-13,-2.111203769494807e-05
2021-04-14,2.222366676041254e-05
2021-04-15,5.555793221034833e-07
2021-04-16,5.555790132394378e-07
2021-04-19,5.555780870913907e-07
2021-04-20,-1.9167433363942443e-05
2021-04-21,8.333826417850076e-07
2021-04-22,8.333819472294834e-07
2021-04-23,8.333812526739592e-07
2021-04-26,8.333791690073866e-07
2021-04-27,3.639086006046455e-05
2021-04-28,2.777827161626334e-07
2021-04-29,2.777826391131555e-07
2021-04-30,2.7778256184163297e-07
2021-05-03,-7.389073615726716e-05
2021-05-04,5.0004944933457196e-05
2021-05-05,5.555827173875372e-07
2021-05-06,5.555824087455363e-07
2021-05-07,5.555821001035355e-07
2021-05-10,5.555811741775329e-07
2021-05-11,2.3056605911842e-05
2021-05-12,-2.1944938205509246e-05
2021-05-13,5.555802480294858e-07
2021-05-14,2.222319757372304e-05
2021-05-17,-2.0555989515225193e-05
2021-05-18,5.555787048194816e-07
2021-05-19,2.083418984999419e-05
2021-05-20,2.77783410496113e-07
2021-05-21,2.777833334466351e-07
2021-05-24,-1.8611467830886852e-05
2021-05-25,5.55576544103431e-07
2021-05-26,5.555762352393856e-07
2021-05-27,5.555759268194294e-07
2021-05-28,1.833399539408198e-05
2021-06-01,-2.5000638905092742e-05
2021-06-02,5.555836435355843e-07
2021-06-03,5.555833344494943e-07
2021-06-04,5.55583026029538e-07
2021-06-07,5.555821001035355e-07
2021-06-08,5.5558179123949e-07
2021-06-09,-2.2501050049084093e-05
2021-06-10,8.333909762292535e-07
2021-06-11,8.333902816737293e-07
2021-06-14,8.333881982292013e-07
2021-06-15,8.333875034516325e-07
2021-06-16,-2.0279079018581392e-05
2021-06-17,1.1112049462802531e-06
2021-06-18,-1.9446064949857345e-05
2021-06-21,1.3890277916761562e-06
2021-06-22,2.083538793407058e-05
2021-06-23,-1.8056959985690568e-05
2021-06-24,1.389022003417395e-06
2021-06-25,-1.7223848919112328e-05
2021-06-28,1.944655115426741e-05
2021-06-29,1.8890568050489165e-05
2021-06-30,-1.6112238967913584e-05
2021-07-01,1.3890663805860015e-06
2021-07-02,1.3890644512404293e-06
2021-07-06,1.3890567331920067e-06
2021-07-07,1.38905480362439e-06
2021-07-08,-2.1947035413916183e-05
2021-07-09,1.6669000326707817e-06
2021-07-12,2.3892114324519653e-05
2021-07-13,1.3890432271068676e-06
2021-07-14,-2.028000294496124e-05
2021-07-15,2.3058553167532025e-05
2021-07-16,1.3890374386260618e-06
2021-07-19,1.3890316505893452e-06
2021-07-20,1.3890297210217284e-06
2021-07-21,1.3890277916761562e-06
2021-07-22,1.389025862330584e-06
2021-07-23,1.3890239329850118e-06
2021-07-26,1.3890181447262506e-06
2021-07-27,1.3890162153806784e-06
2021-07-28,1.3890142860351062e-06
2021-07-29,-1.611254333722112e-05
2021-07-30,1.6668416851217671e-06
2021-08-02,2.667071172446356e-05
2021-08-03,1.3890625216728125e-06
2021-08-04,1.389060592549285e-06
2021-08-05,1.3890586627596235e-06
2021-08-06,-2.250271907855428e-05
2021-08-09,1.6669000326707817e-06
2021-08-10,2.4447826393769745e-05
2021-08-11,1.389047085798012e-06
2021-08-12,-2.083567734700864e-05
2021-08-13,1.6668889186721714e-06
2021-08-16,1.6668805831177025e-06
2021-08-17,-1.9169094752080618e-05
2021-08-18,1.9447280505957565e-06
2021-08-19,2.2225420213350944e-05
2021-08-20,2.1669303098548198e-05
2021-08-23,1.3890239329850118e-06
2021-08-24,1.389022003417395e-06
2021-08-25,-1.7223848919112328e-05
2021-08-26,2.000223358278319e-05
2021-08-27,1.3890162153806784e-06
2021-08-30,1.3890104273439619e-06
2021-08-31,1.833491217295702e-05
2021-09-01,-2.3891304565260008e-05
2021-09-02,1.3890625216728125e-06
2021-09-03,1.389060592549285e-06
2021-09-07,1.3890528745008623e-06
2021-09-08,1.389050944711201e-06
2021-09-09,2.4169452867539576e-05
2021-09-10,-2.139083783192497e-05
2021-09-13,-2.028000294496124e-05
2021-09-14,4.445022297350221e-05
2021-09-15,1.1112061810703011e-06
2021-09-16,1.1112049462802531e-06
2021-09-17,1.1112037114902051e-06
2021-09-20,1.1112000073421058e-06
2021-09-21,2.0557177288216266e-05
2021-09-22,8.333819472294834e-07
2021-09-23,8.333812526739592e-07
2021-09-24,8.33380558118435e-07
2021-09-27,-1.6945362318221413e-05
2021-09-28,1.1111901290217219e-06
2021-09-29,1.1111888942316739e-06
2021-09-30,1.1111876596636705e-06
2021-10-01,1.111224702921021e-06
2021-10-04,1.111220998550877e-06
2021-10-05,1.111219763760829e-06
2021-10-06,1.111218528970781e-06
2021-10-07,-2.250215020549451e-05
2021-10-08,1.3890528745008623e-06
2021-10-11,1.389047085798012e-06
2021-10-12,-2.083567734700864e-05
